"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/qubuss/Projects/template_app/templateapp/lib/configs/navigation/go_router_config.dart", "Dart", 18, 0, 0, 3, 21
"/Users/qubuss/Projects/template_app/templateapp/lib/configs/navigation/routes.dart", "Dart", 5, 0, 0, 1, 6
"/Users/qubuss/Projects/template_app/templateapp/lib/core/errors/data/models/app_error.dart", "Dart", 7, 0, 0, 4, 11
"/Users/qubuss/Projects/template_app/templateapp/lib/core/http/data/models/custom_response.dart", "Dart", 23, 0, 0, 6, 29
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/data/models/sign_in_model.dart", "Dart", 18, 0, 0, 6, 24
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/data/repositories/auth_repository.dart", "Dart", 26, 0, 0, 4, 30
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/presentation/authorization/bloc/authorization_bloc.dart", "Dart", 20, 0, 0, 5, 25
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/presentation/authorization/bloc/authorization_event.dart", "Dart", 12, 0, 0, 4, 16
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/presentation/authorization/bloc/authorization_state.dart", "Dart", 19, 0, 0, 10, 29
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/presentation/authorization/view/authorization_page.dart", "Dart", 27, 0, 0, 4, 31
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/presentation/authorization/view/authorization_route.dart", "Dart", 14, 0, 0, 3, 17
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/presentation/authorization/view/widgets/auth_box.dart", "Dart", 61, 0, 1, 3, 65
"/Users/qubuss/Projects/template_app/templateapp/lib/features/auth/presentation/authorization/view/widgets/welcome_box.dart", "Dart", 21, 0, 0, 3, 24
"/Users/qubuss/Projects/template_app/templateapp/lib/localization/generated/intl/messages_all.dart", "Dart", 48, 0, 10, 10, 68
"/Users/qubuss/Projects/template_app/templateapp/lib/localization/generated/intl/messages_en.dart", "Dart", 19, 0, 10, 7, 36
"/Users/qubuss/Projects/template_app/templateapp/lib/localization/generated/intl/messages_pl.dart", "Dart", 19, 0, 10, 7, 36
"/Users/qubuss/Projects/template_app/templateapp/lib/localization/generated/l10n.dart", "Dart", 105, 0, 14, 21, 140
"/Users/qubuss/Projects/template_app/templateapp/lib/localization/l10n/intl_en.arb", "JSON", 0, 8, 0, 0, 8
"/Users/qubuss/Projects/template_app/templateapp/lib/localization/l10n/intl_pl.arb", "JSON", 0, 8, 0, 0, 8
"/Users/qubuss/Projects/template_app/templateapp/lib/localization/localization.dart", "Dart", 9, 0, 0, 3, 12
"/Users/qubuss/Projects/template_app/templateapp/lib/main.dart", "Dart", 27, 0, 0, 4, 31
"/Users/qubuss/Projects/template_app/templateapp/lib/services/core_repository.dart", "Dart", 117, 0, 1, 11, 129
"/Users/qubuss/Projects/template_app/templateapp/lib/styles/edges.dart", "Dart", 8, 0, 6, 6, 20
"/Users/qubuss/Projects/template_app/templateapp/lib/styles/text_styles.dart", "Dart", 0, 0, 0, 1, 1
"/Users/qubuss/Projects/template_app/templateapp/lib/utils/input_validators.dart", "Dart", 42, 0, 0, 7, 49
"/Users/qubuss/Projects/template_app/templateapp/lib/utils/ioc.dart", "Dart", 14, 0, 0, 5, 19
"/Users/qubuss/Projects/template_app/templateapp/lib/utils/translation_extensions.dart", "Dart", 13, 0, 0, 3, 16
"/Users/qubuss/Projects/template_app/templateapp/lib/widgets/text_fields/labeled_text_field_widget.dart", "Dart", 117, 0, 0, 5, 122
"/Users/qubuss/Projects/template_app/templateapp/lib/widgets/text_fields/password_text_field_widget.dart", "Dart", 56, 0, 8, 8, 72
"Total", "-", 865, 16, 60, 154, 1095
